N,re_intgr
50,1.5346346489986515
100,1.5534179294048955
150,1.559416420566598
200,1.5623530601015725
250,1.564091669096977
300,1.5652398081891215
350,1.5660540300775352
400,1.5666612213765405
450,1.567131278629624
500,1.567505852180237
550,1.567811295256378
600,1.5680650911594816
650,1.5682792927226898
700,1.5684624773024736
750,1.5686209143508902
800,1.5687592921682667
850,1.5688811864413392
900,1.5689893715775993
950,1.5690860330901102
1000,1.5691729158636207
1050,1.569251429795299
1100,1.5693227264481215
1150,1.569387755587311
1200,1.5694473074989537
1250,1.5695020450928647
1300,1.5695525285545824
1350,1.5695992344880432
1400,1.5696425709334167
1450,1.5696828892606622
1500,1.5697204936714646
